Provinsi,prevalensi_underweight_persen,prevalensi_stunting_persen,prevalensi_wasting_persen,persen_jarak_kehamilan_berisiko,persen_usia_ibu_berisiko,persen_tidak_ikut_kelas_bumil,persen_masalah_buku_kia,persen_kia_tidak_dijelaskan,persen_anc_tidak_lengkap_k6,persen_anc_tempat_informal,persen_usg_tidak_lengkap,persen_usg_oleh_non_spesialis,persen_tidak_patuh_minum_ttd,persen_mulai_ttd_terlambat,persen_bblr,persen_pblr,persen_imd_terlambat,persen_tidak_pernah_asi,persen_tidak_asi_eksklusif,persen_diberi_makanan_campuran_dini,persen_asi_berhenti_sebelum_2_tahun,persen_mpasi_tidak_tepat_waktu,persen_tidak_memenuhi_mdd,persen_tidak_memenuhi_mmf,persen_tidak_memenuhi_mmff,persen_tidak_memenuhi_mad,persen_tidak_konsumsi_protein_hewani,persen_konsumsi_minuman_manis,persen_konsumsi_makanan_tak_sehat,persen_tidak_konsumsi_buah_sayur,persen_pemberian_makan_dini,persen_diberi_susu_formula,persen_jarang_pantau_pertumbuhan,persen_pemantauan_nonstandar,persen_risiko_layanan_nonlengkap,persen_tidak_dapat_pmt,persen_pmt_tidak_habis,persen_tidak_dapat_vit_a,persen_imunisasi_dasar_incomplete,persen_imunisasi_lanjutan_incomplete,persen_imunisasi_pcv_incomplete,persen_imunisasi_rotavirus_incomplete,persen_balita_ispa,persen_balita_diare,persen_balita_pneumonia,persen_balita_tbc,persen_tidak_memiliki_jamkes,persen_jamkes_tidak_dimanfaatkan,persen_keluarga_tanpa_tpk,persen_balita_dianggap_berisiko,persen_persepsi_ibu_anak_bermasalah_gizi,persen_pengetahuan_stunting_baik,persen_tidak_kb_pasca_salin,persen_tidak_dapat_bansos,persen_akses_air_minum_berisiko,persen_akses_sanitasi_berisiko,persen_pembuangan_limbah_berisiko
Sulawesi Utara,"15,0","20,8","8,8","13,1","19,4",89,"37,4","40,4",76,"16,1","24,6","28,2","73,2","86,9","6,5","29,6","9,6","19,4","57,9","15,9","61,5",45,66,"31,1",6,"65,2","67,5","13,8","17,5","36,3","44,7","73,6","27,2","50,3","65,9","92,8","4,3",24,"33,9","30,7","19,7","60,5","22,9",7,"2,8","0,3","31,7","52,1","64,9","18,5",8,"1,3","59,9","55,7","5,8",6,"92,0"
Sulawesi Tengah,"24,2","26,1","11,2","15,6","16,7","47,3","31,3","33,7","85,2","47,7","34,6","38,2","62,9","89,2","8,5","24,4","19,6","8,3","46,6",13,"39,3","25,3","63,1","30,1","12,6","68,9","75,4","11,3","26,1","27,2","34,3","51,2",23,"42,5","55,8","88,4","15,6",19,"56,6","53,7","39,4","80,1","35,9","6,7",6,"0,7","48,7","50,8","57,4","13,1","16,3","0,3","73,9","45,7",5,"14,7","93,7"
Sulawesi Selatan,"19,6","23,2",8,"15,9","15,8","52,8",21,"45,1","78,4",9,"21,1","20,1","52,8","90,1","8,1","23,1","15,2","7,1","40,3","14,8","44,7","19,2","56,9","34,1","11,5","67,4","75,7","8,5","42,7","23,1","31,9","47,5","24,2","43,1","58,4","90,9","18,9","18,1","47,1","44,6","38,5","78,1","34,1","5,5","5,6","1,1","35,1","45,4","47,3","8,1","17,4","0,3",74,"51,8","5,7","7,6","94,3"
Sulawesi Tenggara,"23,3","26,1","11,5","12,1","16,1",63,"52,6","31,5",86,"56,2","43,9","44,2","75,2","90,8","4,5","12,5","17,4","11,2",31,"9,4","49,3","40,2","62,9","30,9","24,1","70,5","74,8","10,2",24,"30,9","25,2","44,7","26,5","49,2","70,8","92,5","8,4","32,9","66,4","52,1","40,5","77,1","19,7","2,9","3,2","0,1","48,3","69,7","75,5","3,7","7,4","0,3","88,9","63,3","6,8","14,8","84,1"
Gorontalo,"23,6","23,9","11,1","9,7","17,4","45,3","19,6","32,3","80,4",36,"26,7","18,4","63,7","87,4","7,3","29,2",4,"16,2","58,6","15,6","59,7","20,5","74,9","35,3","12,2","70,2","66,9","6,3","25,8","48,3","49,8","63,8","29,6","51,7","70,4","93,6","8,5","15,9","46,2","36,1","36,1",79,"22,9","4,5",2,"0,2",44,"68,9","53,7","5,3","9,8",0,"67,2","36,5","10,9",15,"85,4"
Sulawesi Barat,"25,9","35,4","9,2","19,6","18,7","60,4","22,4","49,7","85,5","11,7","40,3","55,4","57,5","87,2","6,8","23,5",41,"5,8",32,"12,3","27,7","21,4","54,6","16,7","26,3","60,1",82,"17,3","47,1","20,3","25,4","38,6",16,"29,2","60,6","86,5","21,7","11,1","61,2","60,5","50,3",84,30,"6,6","3,6","2,1","34,6","83,8","81,1","8,3","24,7","0,3","84,5",51,"12,8","14,6","90,9"
Maluku,"28,0","28,3","15,2","11,6","17,9","81,4","55,9","46,3","90,3","46,1","61,6","64,3","81,6","90,8","4,2","15,8","23,6","15,8","41,6","9,5","47,7",32,"79,5",25,"22,5","71,5","63,7","17,3","23,2","37,5","45,8",52,"20,5","37,6","60,9",89,"5,5","23,5","62,8","47,1","33,4","66,8","20,1","4,4","3,6","0,4","74,9","55,8","67,9","3,6","8,6","0,1","87,7","50,2","3,7","10,8","82,5"
Maluku Utara,"24,9","23,2","14,6","8,1",20,"60,2","50,9",38,"87,8","56,1","48,3","46,7",68,"87,8","8,3","15,8","10,3",14,"46,9","10,5","45,8","34,1","81,6","22,9","24,9","73,4","59,8","16,7","24,3","57,4","32,6","47,7","22,2","41,8","70,3","93,3","4,3","22,4","65,9","58,9","44,7","77,8","18,9","3,2","2,1","0,5","74,4","65,4","61,5","3,6","11,9","0,1","86,1","64,6","18,8","14,5","91,5"
Papua Barat,"22,9","24,7","12,1",16,"18,6","90,2","54,8",44,"88,2","4,1","45,7",32,"67,5","87,9","7,9","20,5","24,4","17,6","52,5","13,5","55,2","36,4","79,6","35,5","24,5","72,3","60,3","17,5",25,"37,4","35,3",52,"30,2","55,3","75,8","95,1","6,5","46,6","69,4","61,9","63,3","86,4","24,1","2,6","1,8","0,3","66,9","74,1","89,6","13,7",9,"0,5","81,5","61,9","11,9","11,2","87,4"
Papua Barat Daya,"28,8","30,5","13,1","20,6","19,3","87,4","51,2","34,4","79,6","22,7",40,"31,1","70,4","87,2","9,3","24,6",12,"16,6","47,5","15,5","49,7","18,4",62,"33,6",18,"64,4","72,7","25,7","29,9","25,9","40,4","54,5","29,9","55,3","68,9","91,2","17,3","26,4","60,7",35,"53,4","85,6","42,7","5,8","3,4","2,9","54,7","44,9","88,1","3,3","8,3","0,3","80,5","39,3","25,5","17,3","98,0"
Papua,"19,1","24,7","10,6",15,"18,1",84,"46,2","55,5","80,9","7,9",42,"50,9","69,2","89,2","6,2","25,8","33,2","12,4","42,3","11,8","52,5","34,1",59,"30,1","9,9","63,2","76,5","27,1","25,2","25,7","28,5","58,7","27,7","50,2","59,5","89,9","16,7","28,4","53,3","49,5","35,1","70,7","30,8","5,3","5,3","0,7","51,4","52,8","78,8","7,2","11,3","3,9","90,4",48,"8,5","12,2","92,6"
Papua Selatan,"20,2","25,7","10,4","12,1","19,6","76,1","58,1","42,8","94,2","45,7","69,5","65,1","47,4","88,1","5,8","23,5","32,8","7,1","37,3","13,4","28,6","41,8","78,4","41,8","17,6","80,2","55,2","21,6","25,8",46,"34,7","43,4","27,6",51,"63,3","96,3","4,2","39,3","43,9","39,7","33,5","66,4","41,6","5,5","4,1","2,1",79,"55,4","94,3","2,5","6,2","0,5","88,9","29,4","26,8",31,"96,6"
Papua Tengah,,,,,,,,,,"1,3",36,"59,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua Pegunungan,,,,,,,,,,"40,1","87,2","89,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,"16,9","19,8","7,4","11,4","12,7","63,4","21,5","53,3","71,9","14,8","23,2","29,7","40,4","92,3","6,5","18,4","18,1","5,9","33,6","12,5","35,1","17,3","51,7","27,8",17,"60,9","79,1","11,5","46,7",25,"25,2","41,9","18,95","34,6","51,6","88,9","25,7","14,8","43,9","48,5","33,4","75,8","42,1","9,9","5,3","1,3","46,5","50,2","45,3","8,5","14,9","1,7","73,6","47,6",6,"13,3","84,9"
